Species,tsne-0,tsne-1
Luxiaria amasa amasa,-9.730015,12.230912
Ourapteryx caecata,-20.254095,29.881233
Oruza albigutta,12.711261,-15.660838
Botyodes principalis,-8.265467,11.39361
Melanthia procellata szechuanensis,-20.3126,25.393791
Euchristophia cumulata meridionalis,-19.170412,18.223812
Panolis pinicortex exornata,-22.693184,23.650652
Comostola laesaria,10.975146,-15.372665
Neotogaria saitonis,-7.989963,14.753681
Pseudosphetta moorei,16.4433,-25.191422
Eilema ratonis,0.43609738,-7.949049
Synegia pallens abeliae,1.5975901,-11.515124
Epipsestis bilineata pallida,-23.800497,30.77972
Orybina flaviplaga,-12.768506,20.816166
Dysstroma cinereata cinereata,-16.478104,19.97816
Harpyia formosicola,-20.803375,24.483236
Biston perclarus,0.19674341,1.4282607
Tarsolepis japonica,8.702297,-9.444046
Ischyja manlia,-6.5384245,8.920982
Eugoa cernyi,-0.74326736,-4.3857265
Syllepte taiwanalis,20.451946,-28.070093
Lophophleps purpurea,8.846774,-14.390851
Lophoptera longipennis,-20.086502,24.899235
Hypomecis obliquisigna,-5.7388287,11.242432
Perixera absconditaria absconditaria,-3.5002546,9.591163
Mythimna (Hyphilare) hannemanni,16.16003,-19.334955
Cyclodes omma,12.055034,-15.715056
Warreniplema fumicosta,-8.729364,14.590698
Schistophleps bipuncta,13.831365,-18.274195
Discoglypha locupletata,-8.34312,16.158484
Rusicada privata,-1.4545145,6.3450427
Pseudomiza aurata,-20.193626,22.378418
Trachea punkikonis punkikonis,-3.1837876,8.839669
Glyphodes itysalis,20.277046,-20.38842
Perciana taiwana,-19.852737,25.974693
Callyna contracta,-13.936899,21.805597
Netria viridescens continentalis,-14.471778,18.22789
Thyatira batis formosicola,1.7162849,-8.944728
Theretra clotho,-5.7670164,-3.774066
Parapercnia giraffata,4.84432,-1.72048
Agrius convolvuli,5.408147,-10.591151
Ghoria tecta,-18.99932,29.766962
Eustroma melancholica interrupta,-21.273691,30.304123
Belippa horrida,12.816569,-18.319101
Amyna punctum,11.733446,-18.96508
Luxiaria costinota,-2.3093114,6.71095
Hypocala subsatura,1.9940746,7.9384136
Phlossa taiwana,-13.078905,11.464949
Scopula kagiata,-8.285764,5.7859764
Phazaca alikangensis,15.208716,-24.673624
Bertula venata,8.375339,-13.924453
Euproctis kanshireia,11.970486,-29.112429
Thalatta fasciosa,12.971752,-22.489637
Amblychia angeronaria,15.9201565,-25.380222
Athetis stellulata,-2.9898913,1.7541487
Parallelia stuposa,19.997652,-24.508795
Micronia aculeata,15.527356,-16.985638
Omiodes noctescens,11.868717,-23.093935
Chalcoscelides castaneipars,-7.1549063,13.300128
Prochasma dentilinea,-25.010702,30.421873
Chalyboclydon marginata,13.810546,-21.3598
Collix ghosha,5.56734,-11.164035
Eressa confinis finitima,23.651949,-30.080238
Syntomoides imaon,22.287533,-28.265854
Marumba cristata bukaiana,-2.840165,10.791349
Doratoptera lutea,-3.8400283,10.950595
Callyna monoleuca,13.100385,-16.46091
Teliphasa albifusa,-3.1191616,-3.4382598
Hypena sinuosa,-10.659834,10.969479
Chundana emarginata,-2.2067487,9.84029
Parabapta unifasciata,0.9532914,11.027478
Racotis boarmiaria,-1.5957503,-5.555625
Euproctis croceola,-18.402466,16.592346
Serrodes campana,13.418074,-24.065247
Diaphania indica,9.397485,-17.005304
Rusicada combinans,-0.8464657,3.238011
Hyposidra infixaria,16.33379,-17.168365
Westermannia elliptica elliptica,19.08564,-22.900373
Tanaorhinus viridiluteata,-0.91764396,11.29616
Thyas juno,0.22250487,9.661349
Pseudocollix hyperythra catalalia,10.838217,-16.81997
Bocana manifestalis,12.698454,-22.70192
Blepharoctenucha virescens kawabei,-17.573967,22.213802
Glyphodes onychinalis,17.51469,-12.58308
Maikona yazakii,-19.931036,27.09023
Iraga rugosa,16.816893,-28.140244
Lygephila kishidai,-14.501817,20.053785
Simplicia bimarginata,20.335024,-23.649643
Calliteara lunulata takamukuana,-4.242898,8.535902
Cirrhochrista spissalis,14.994674,-15.691227
Hipoepa fractalis,13.192387,-16.757797
Platyja acerces,17.83889,-20.49745
Atacira affinis,8.451795,-12.866045
Eudocima salaminia,15.808808,-28.56903
Heterostegania lunulosa,-18.188683,19.286114
Thysanoplusia orichalcea,13.925689,-15.893517
Nacoleia charesalis,16.07189,-18.593058
Chiasmia inchoata,0.56473756,-4.0872965
Ourapteryx ramosa,-21.154589,28.216698
Somatina plynusaria,4.6085424,-12.141244
Cirrhochrista spinuella,6.342796,-4.454711
Dindica polyphaenaria,-4.2417583,1.819886
Cerynea igniaria,17.69389,-15.961129
Hoplodrina implacata,-4.966842,-0.33780444
Tethea consimilis c-album,-13.34361,23.058992
Ophiusa disjungens indiscriminata,12.818344,-26.48193
Garaeus apicata formosanus,-4.777835,13.522642
Artena dotata,-1.7587011,0.9965152
Condica albigutta,18.52345,-25.92519
Mythimna bani,3.8501787,-13.274084
Chiasmia intermediaria,18.58774,-29.464584
