Species,km_labels,new_km_labels
Acosmeryx naga naga,1,5
Scriptoplusia nigriluna,9,7
Chiasmia inchoata,8,8
Dinumma placens,6,3
Herculia pelasgalis,8,8
Cosmotriche discitincta,4,0
Ercheia niveostrigata,0,13
Atacira lyncestides,8,8
Mythimna purpurpatagis,9,7
Fascellina subsignata,3,10
Blepharoctenucha virescens kawabei,7,1
Alcis anmashanensis,7,1
Macroglossum saga,2,2
Disparia diluta variegata,9,7
Mythimna bani,3,10
Macrocilix mysticata flavotincta,2,2
Aglaomorpha histrio formosana,8,8
Herminia vermiculata,5,11
Circobotys aurealis,5,11
Caduca albopunctata,11,12
Fascellina chromataria,14,9
Gandaritis sinicaria postalba,7,1
Bastilla fulvotaenia,10,14
Dysaethria fulvihamata,14,9
Acosmerycoides harterti,0,13
Ctenoplusia kosemponensis,9,7
Krananda semihyalina,12,4
Fentonia baibarana,13,6
Bombyx mandarina formosana,0,13
Xandrames dholaria,2,2
Norracoides basinotata,14,9
Lampropteryx synthetica,0,13
Hypena kanshireiensis,11,12
Herminia kurokoi,11,12
Pangrapta vasava,1,5
Barsine sauteri,14,9
Blenina senex,12,4
Agrius convolvuli,14,9
Kerala lentiginosa,6,3
Aroana baliensis,11,12
Borsippa diffisa,11,12
Endotricha similata,7,1
Rhynchaglaea hemixantha hemixantha,7,1
Simplicia niphona,11,12
Susica sinensis,10,14
Machaeropteris petalacma,7,1
Dipterygina indica,9,7
Hadennia hisbonalis,0,13
Tethea oberthueri taiwana,2,2
Bastilla praetermissa,10,14
Paracolax sugii,10,14
Tiracola plagiata,13,6
Hepatica irrorata,13,6
Microxyla confusa,5,11
Amblychia moltrechti,4,0
Achaea janata,12,4
Nevrina procopia,10,14
Ourapteryx clara formosana,2,2
Menophra anaplagiata,12,4
Arcte coerula,12,4
Arasada pyraliformis,5,11
Eudocima salaminia,0,13
Trisuloides sericea,13,6
Lithopolia confusa confusa,7,1
Polyphagozerra coffeae,13,6
Hyalobathra coenostolalis,14,9
Ectropis bhurmitra,5,11
Hypena tristalis,6,3
Hemithea pallidimunda,1,5
Syllepte taiwanalis,10,14
