R,G,B,hue,High_or_Low
10,-2,-2,0.0,Low group
-18,2,2,0.0,Low group
-6,10,10,0.0,Low group
-16,-22,-22,0.0,Low group
-25,-9,-9,0.0,Low group
9,6,6,0.0,Low group
14,26,26,0.0,Low group
0,-9,-9,0.0,Low group
10,9,9,0.0,Low group
-1,-2,-2,0.0,Low group
11,18,18,0.0,Low group
23,8,8,0.0,Low group
-7,4,4,0.0,Low group
3,6,6,0.0,Low group
-2,-6,-6,0.0,Low group
-13,-12,-12,0.0,Low group
-8,7,7,0.0,Low group
7,16,16,0.0,Low group
-16,-21,-21,0.0,Low group
24,25,25,0.0,Low group
-24,-29,-29,0.0,Low group
-3,6,6,0.0,Low group
-23,-15,-15,0.0,Low group
-24,-16,-16,0.0,Low group
8,-6,-6,0.0,Low group
-16,-22,-22,0.0,Low group
9,9,9,0.0,Low group
13,10,10,0.0,Low group
-10,-12,-12,0.0,Low group
5,6,6,0.0,Low group
-5,-11,-11,0.0,Low group
-10,-4,-4,0.0,Low group
-22,-9,-9,0.0,Low group
19,28,28,0.0,Low group
-10,-14,-14,0.0,Low group
12,5,5,0.0,Low group
3,21,21,0.0,Low group
-16,-5,-5,0.0,Low group
0,7,7,0.0,Low group
18,22,22,0.0,Low group
0,10,10,0.0,Low group
-9,6,6,0.0,Low group
15,5,5,0.0,Low group
8,12,12,0.0,Low group
10,19,19,0.0,Low group
18,-1,-1,0.0,Low group
15,16,16,0.0,Low group
5,-1,-1,0.0,Low group
6,-11,-11,0.0,Low group
13,23,23,0.0,Low group
20,34,34,0.0,Low group
2,17,17,0.0,Low group
-6,-16,-16,0.0,Low group
-14,-7,-7,0.0,Low group
-12,-3,-3,0.0,Low group
12,-2,-2,0.0,Low group
6,4,4,0.0,Low group
-15,6,6,0.0,Low group
-4,-9,-9,0.0,Low group
-6,-19,-19,0.0,Low group
10,10,10,0.0,Low group
-8,0,0,0.0,Low group
18,21,21,0.0,Low group
17,19,19,0.0,Low group
-8,-20,-20,0.0,Low group
-11,-11,-11,0.0,Low group
-4,-14,-14,0.0,Low group
2,-9,-9,0.0,Low group
-7,-17,-17,0.0,Low group
0,-5,-5,0.0,Low group
-22,-3,-3,0.0,Low group
-17,-19,-19,0.0,Low group
-19,-20,-20,0.0,Low group
5,22,22,0.0,Low group
18,12,12,0.0,Low group
-10,-2,-2,0.0,Low group
8,12,12,0.0,Low group
-7,-14,-14,0.0,Low group
24,34,34,0.0,Low group
-11,-14,-14,0.0,Low group
-3,1,1,0.0,Low group
0,1,1,0.0,Low group
0,-1,-1,0.0,Low group
-4,14,14,0.0,Low group
2,5,5,0.0,Low group
2,-5,-5,0.0,Low group
16,19,19,0.0,Low group
-25,-6,-6,0.0,Low group
-2,-9,-9,0.0,Low group
-12,-22,-22,0.0,Low group
-6,-10,-10,0.0,Low group
-11,-19,-19,0.0,Low group
6,3,3,0.0,Low group
13,19,19,0.0,Low group
-13,-5,-5,0.0,Low group
15,14,14,0.0,Low group
-8,11,11,0.0,Low group
3,-5,-5,0.0,Low group
14,0,0,0.0,Low group
-22,-28,-28,0.0,Low group
11,-8,-8,0.0,Low group
-21,-26,-26,0.0,Low group
10,-9,-9,0.0,Low group
22,15,15,0.0,Low group
-24,-16,-16,0.0,Low group
20,18,18,0.0,Low group
-25,-1,-1,0.0,Low group
20,28,28,0.0,Low group
-18,2,2,0.0,Low group
-25,-15,-15,0.0,Low group
19,15,15,0.0,Low group
-10,-3,-3,0.0,Low group
-4,9,9,0.0,Low group
-7,-14,-14,0.0,Low group
-20,-10,-10,0.0,Low group
7,23,23,0.0,Low group
-5,-7,-7,0.0,Low group
10,0,0,0.0,Low group
-18,-4,-4,0.0,Low group
-21,-25,-25,0.0,Low group
-2,0,0,0.0,Low group
23,29,29,0.0,Low group
-6,1,1,0.0,Low group
16,25,25,0.0,Low group
-2,-13,-13,0.0,Low group
20,30,30,0.0,Low group
19,0,0,0.0,Low group
10,-6,-6,0.0,Low group
14,12,12,0.0,Low group
-7,10,10,0.0,Low group
-8,8,8,0.0,Low group
19,19,19,0.0,Low group
15,-6,-6,0.0,Low group
23,27,27,0.0,Low group
-21,-9,-9,0.0,Low group
22,9,9,0.0,Low group
-19,-10,-10,0.0,Low group
-24,-10,-10,0.0,Low group
-22,-26,-26,0.0,Low group
7,19,19,0.0,Low group
-3,7,7,0.0,Low group
-25,-1,-1,0.0,Low group
-22,-7,-7,0.0,Low group
20,-3,-3,0.0,Low group
-25,-6,-6,0.0,Low group
-5,0,0,0.0,Low group
-9,-10,-10,0.0,Low group
22,30,30,0.0,Low group
24,24,24,0.0,Low group
